Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,Yaw Pos,Pitch Pos,Drag Force,Side Force,Lift Force,Roll Moment,Pitch Moment,Yaw Moment,Valve Position,cDAQ1Mod2/ai1,cDAQ1Mod2/ai10,cDAQ1Mod2/ai11,cDAQ1Mod2/ai12,cDAQ1Mod2/ai13,N1,N2,S1,S2,RM,AF
Type,USC / SI,Time,fps / m/s,PSI / Pascals,°F / °C,% / %,PSI / Pascals,PSI / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,Deg / Deg,Deg / Deg,lbf / N,lbf / N,lbf / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,% / %, / , / , / , / , / ,mV / mV,mV / mV,mV / mV,mV / mV,mV / mV,mV / mV
Mult,USC,220307 02:22:32.675940,   50.256040,   14.572250,   70.171505,   55.527063,    0.020130,   -0.000210,  286.089915,   14.304000,    2.816142,    0.440000,   74.000000,    0.000006,    5.999374,   -0.400188,   -0.304464,   -4.911677,   -1.940769,   41.215879,    0.688165,   -0.981010,    1.062428,   -0.000000,    0.000000,    0.000002,   -0.000002,    0.000084,    0.000085,    0.000085,    0.000085,    0.000084,    0.000084
Mult,USC,220307 02:22:32.775940,   50.716682,   14.572230,   70.190888,   55.453861,    0.020500,   -0.000210,  285.912293,   14.298000,    2.816142,    0.110000,   74.000000,    0.000006,    5.999400,   -0.399363,   -0.307388,   -4.920597,   -1.930525,   41.300422,    0.717355,   -1.037722,    1.044199,    0.000000,   -0.000000,   -0.000003,    0.000002,    0.000085,    0.000084,    0.000085,    0.000085,    0.000085,    0.000085
Mult,USC,220307 02:22:32.875940,   51.011096,   14.572240,   70.161572,   55.438145,    0.020740,   -0.000200,  285.853086,   14.292000,    2.682040,    0.170000,   74.000000,    0.000006,    5.999424,   -0.403262,   -0.297918,   -4.909143,   -1.918278,   41.213028,    0.668093,   -1.041346,    1.043598,    0.000001,   -0.000000,   -0.000003,    0.000000,    0.000084,    0.000084,    0.000084,    0.000084,    0.000085,    0.000084
Mult,USC,220307 02:22:32.975940,   50.818616,   14.572260,   70.246775,   55.533302,    0.020580,   -0.000200,  285.675464,   14.283000,    2.547938,   -9.520000,   74.000000,    0.000009,    5.999456,   -0.398879,   -0.300793,   -4.891089,   -1.919497,   41.034337,    0.685649,   -1.137031,    1.051088,   -0.000000,    0.000000,    0.000003,    0.000001,    0.000084,    0.000084,    0.000084,    0.000084,    0.000084,    0.000084
Mult,USC,220307 02:22:33.075940,   50.506892,   14.572280,   70.210586,   55.451625,    0.020330,   -0.000200,  285.438634,   14.271000,    2.279734,   -8.790000,   75.000000,    0.000006,    5.999492,   -0.400377,   -0.290727,   -4.880221,   -1.914532,   40.960807,    0.597332,   -1.102508,    1.068340,   -0.000000,   -0.000000,   -0.000001,    0.000002,    0.000084,    0.000084,    0.000083,    0.000084,    0.000084,    0.000085
Mult,USC,220307 02:22:42.975931,   50.145252,   14.572450,   70.209747,   55.547319,    0.020040,   -0.000210,  284.846561,   14.238000,    2.547938,   -9.850000,   74.000000,    0.000006,    7.998839,   -0.517786,   -0.350912,   -5.633602,   -2.230299,   47.500013,    0.803536,   -2.130188,    1.062830,   -0.000000,   -0.000000,    0.000002,    0.000002,    0.000098,    0.000098,    0.000098,    0.000099,    0.000098,    0.000098
Mult,USC,220307 02:22:43.075931,   49.889900,   14.572450,   70.122115,   55.557005,    0.019840,   -0.000220,  284.609731,   14.226000,    2.682040,    0.480000,   74.000000,    0.000009,    7.998847,   -0.514780,   -0.348274,   -5.598578,   -2.197635,   47.225672,    0.762275,   -2.096173,    1.062199,    0.000000,    0.000000,   -0.000000,   -0.000003,    0.000097,    0.000097,    0.000097,    0.000097,    0.000096,    0.000097
Mult,USC,220307 02:22:43.175930,   49.731009,   14.572490,   70.217878,   55.544502,    0.019710,   -0.000210,  284.372902,   14.217000,    2.950244,    0.450000,   74.000000,    0.000006,    7.998856,   -0.516724,   -0.351280,   -5.594674,   -2.202754,   47.152921,    0.723893,   -2.116010,    1.066425,   -0.000000,   -0.000000,    0.000002,    0.000002,    0.000096,    0.000097,    0.000096,    0.000097,    0.000097,    0.000096
Mult,USC,220307 02:22:43.275930,   49.879760,   14.572500,   70.169829,   55.582802,    0.019830,   -0.000210,  284.254487,   14.211000,    2.950244,    0.740000,   73.000000,    0.000009,    7.998867,   -0.515331,   -0.349981,   -5.586339,   -2.204192,   47.034345,    0.719100,   -2.110796,    1.055977,    0.000000,    0.000000,    0.000002,   -0.000002,    0.000096,    0.000097,    0.000097,    0.000096,    0.000097,    0.000097
Mult,USC,220307 02:22:43.375930,   49.427212,   14.572500,   70.215259,   55.569647,    0.019470,   -0.000220,  284.076865,   14.205000,    3.218448,    1.240000,   74.000000,    0.000006,    7.998877,   -0.513488,   -0.348805,   -5.584831,   -2.174643,   47.032423,    0.758904,   -2.108126,    1.055893,   -0.000000,   -0.000000,    0.000003,    0.000001,    0.000096,    0.000096,    0.000096,    0.000096,    0.000096,    0.000096
